human,reply
Hey I want to extend my connection so that it can also be work in the fifth floor.I do have the secondary router of the TPLINK.,"1. Connect your secondary router to your PC with the help of LAN cable.2. Access your secondary router with the default gateway IP address of your router. 3. Login with the default username and password for the router. 4. Go to Wireless settings to set up your WiFi SSID and password. 5. Go to Network settings and make the DHCP disable. 6.  Reboot  your  router  to  save  the  changes. 7. Connect your secondary router's LAN port to the LAN port 1 of the primary router(i.e, ONU device) with the help of LAN cable. If you are still not able to configure your router, please visit our nearest branch office along with your secondary router and its power adapter."
Okay let me check,Sure sir
Hey in the web appplication there seems to be red light in the power of my connection.,We recommend you to contact our technical support at 9801523051 to get the necessary assistance.
Okay,Okay sir/mam
oi worldlink my internet is not working.,How far are you from the router sir?
I am attatch to my router.,Is there light on AUTH and LINK on your ONU device? Please check and inform us back.
No sir there is no light.,"There seems to be a physical issue in the connection, for which we have informed your concerned branch to send technicians to your place to resolve the issue. The field technicians will contact you prior to the visit."
Hey worldlink.,Hello sir/mam how can we assist you?
I am facing slow internet connection.,How far are you from the router?
I am near to my router.,"All the settings  in your connection seems perfectly normal. Sir, could you please check your download/upload bandwidth from www.speedtest.net ?"
Okay Please wait for the while.,Okay sir
Well its working,Okay sir
Hey,Hello sir/mam how can we assist you?
Please refresh my connection.,We have reconfigured your router.Could you please check the internet speed through www.speedtest.net using Ethernet cable in your pc or laptop and share the screenshot of  speed test result with us. It would be helpful for us to further diagnosis the issue.
Thanks a lot,Welcome sir/mam
Hello,Hello sir/mam how can we assist you?
I am facing slow internet connection.,How far are you from the router?
I am in the office now. I certainly face slow internet connection.,If you are in office how could you know your internet in slow?
When i was at home early morning. My internet was slow.,Please update us your query when you are near to your router sir/mam. It will be more helpfull to solve the issue.
Okay sir.,Okay sir/mam
hi,Hello sir/mam how can we assist you?
I am facing slow internet connection. I am near to my router.,We have reconfigured your router.Could you please check the internet speed through www.speedtest.net using Ethernet cable in your pc or laptop and share the screenshot of  speed test result with us. It would be helpful for us to further diagnosis the issue.
Hey my intenet in working slow.,Please elaborate your issue sir/mam.
I am not getting the speed i am paying amount to you.,"5Mbps = 5120Kbps5120Kbps /8 = 640 KBps Well, since you have subscribed to our bandwidth in Bits per second. Then your actual download/upload speed should be the division of your subscribed internet speed by 8 [since 1 byte = 8 bit ] to get your speed in bytes per second (KBps). For example, If you subscribe the internet of 5 Mbps (Megabit per second) which is [ 5*1024=5120 Kbps (kilobits per second)] , then the download/upload speed should be around (5120/8) KBps i.e around 640 KBps (kilobytes per second).The download speed you are getting is in BYTES and the internet speed you are subscribed in BITS. It takes 8 BITS of Internet speed to download 1 BYTE of file size. But, while testing speed if you are not getting full BANDWIDTH, there could have been some issues, we can look into it and fix it for you.Sir, Download speed matters by BITS and BYTES factors. It take 8BITS of Internet speed to download 1BYTE of data. If you take 5mbps plan your internet speed will be 5120KBITS.Sir, it also depends very much  on the destination servers to which you are uploading your files too."
I am not getting the speed while download the software.,"5Mbps = 5120Kbps5120Kbps /8 = 640 KBps Well, since you have subscribed to our bandwidth in Bits per second. Then your actual download/upload speed should be the division of your subscribed internet speed by 8 [since 1 byte = 8 bit ] to get your speed in bytes per second (KBps). For example, If you subscribe the internet of 5 Mbps (Megabit per second) which is [ 5*1024=5120 Kbps (kilobits per second)] , then the download/upload speed should be around (5120/8) KBps i.e around 640 KBps (kilobytes per second).The download speed you are getting is in BYTES and the internet speed you are subscribed in BITS. It takes 8 BITS of Internet speed to download 1 BYTE of file size. But, while testing speed if you are not getting full BANDWIDTH, there could have been some issues, we can look into it and fix it for you.Sir, Download speed matters by BITS and BYTES factors. It take 8BITS of Internet speed to download 1BYTE of data. If you take 5mbps plan your internet speed will be 5120KBITS.Sir, it also depends very much  on the destination servers to which you are uploading your files too."
"Hey, i am not getting the speed that i supposed to get as well as i have facing issue in the connection.",Please elaborate your query sir.
I am using torrent and my internet is slow.,"Internet is provided in bits where as your download speed is displayed in Bytes. The average download speed of 5 Mbps (Megabits ) is 640 KBps ( KiloBytes). But it also may vary according to seeds and peers as well as server you're downloading from. Please inbox us your username. We will look into your issue.Sir/mam, Number of seeds and peers do affects the download reliability with respond to it's number. Greater seed/peer, the download ratio increase as per it. Perhaps, bandwidth that you have subscribed to is always that matters with the download speed. If the file you want to download have seeds and peers around 100 then according to your bandwidth subscribed your download should be around 640 KBps (which is equal to 5 Mbps) . Since there was just 50kbps download from your router, there must be an issue with it's throughput. Sir/mam, no ISP can guarantee the download speed you get in torrent. Its illegal to begin with, in many countries.  There is no specific server to store a torrent file. Bits and fragments of the file are scattered all over the world in the PC's of people who download those torrent files as seeders and leechers. People(leachers) download from you, when you are seeding a file. So the download speed from torrent very much depends on the number of seeders and leechers associated with the torrent file and the route to them.Well, since most of the downloader (eg IDM, torrent) shows the download speed in Byte per second but you have subscribed to our bandwidth in Bit per second. Then your actual download speed should be the division of your subscribed internet speed by 8 [since 1 byte = 8 bit ]. For example, If you subscribe the internet of 25 Mbps (Megabit per second) , then the download speed should be around (25/8) KBps i.e around 3.25MBps (MegaByte per second)."
ummm,Okay sir/mam
"Worldlink, I am facing slow internet connection.",Please elaborate your query sir.
I check the speed of my connection from the different speedtest and it shows the full speed  but while i ma downloading the content from the web site. It is downloading in 23 KB/s.,Please reboot your router and check.
I have already reboot the router and check.,Sir/mam If you don't mind please pause the download and download the demo ubuntu disk image from the concern web site.
Okay please wait for the while.,Okay sir/mam
The downloaing speed is good in that concern website.,Sir/mam the download speed also matter from the server.If the server has limit the speed. We can't do anything. As you have already tested the speed as well as the download speed of the other site too. There is no issue from the ISP site.
Thank you for your coorporation and guidance.,Welcome sir.
Hey worldink. I want to know about your FUP Policy.,"Sir, FUP is right that every ISP reserve. We are sure sooner or later it is going to be implemented by any ISPs according to their needs and requirements. So on with the increasing number of clients in WorldLink We intend to provide the best possible Internet experience to all our customers. For this, we rely on customers being fair in the way they use the Internet. This ""Fair Usage Policy"" is here to give us an option that if usage of any unlimited customer is excessive over a period of time to the point, it impacts on other users experience then the bandwidth will be capped to fallback speed and is effective only during peak hours (8PM to 11PM) whereas the speed remain unchanged beside mentioned timing.All of our valued clients must be able to use equal service. Here, FUP is an option to provide such solutions. There are so many users found they have been misusing internet e.g taking a connection for home and have been using for HOSTELS, HOTELS, RESTAURANTS, Multiple sharing and for other business purposes. If you take a deep look into it a normal users never falls under FUP but all those bandwidth abusers and massive users.Let us take 5 Mbps package, when the internet usage exceeds the Daily FUP limit of 10 GB then FUP will be applied during the Daily peak hours ( i.e. 8 PM to 11 PM ), then the respective User will be notified via SMS and E-Mail. This will be done 3x3 times for every 10GB bandwidth usage during the Daily Peak Hours with SMS & Email Alert. For the next 3 times of 10 GB bandwidth usage, the bandwidth will then be capped to Fallback Speed ( 1 Mbps) but Users can reset the speed back to normal through Mobile App or visiting our Website. If the user continues with excessive use then the bandwidth will be capped again permanently ( i.e for 3 hours).when the internet usage is seen excessive then the respective users will be notified via SMS and E-Mail for 3 times, Users can reset the speed back to normal via bandwidth selector option available in online service or mobile app for next 3 times. FUP will be abolished as user manage his/her daily usage, If continuous excess usage is seen then the bandwidth will be capped permanently( i.e 8PM-11PM hours only).Dear sir, Its warning message for all of our customers with excessive internet usage. FUP have not been implemented. Whereas FUP policy is a worldwide policy and also mentioned in point no. 20 of terms and conditions.Let us take 5Mbps package, When the internet usage exceeds the Daily FUP limit of 28 GB within the Daily peak hours (i.e. 8PM-11PM), then the respective User will be notified via SMS and email. This will be done 3*3 times for every 28GB bandwidth usage during the Daily Peak Hours with SMS and Email Alert. For the next 3 times of 28GB bandwidth usage, the bandwidth will then capped to Fallback Speed (3Mbps) but Users can reset the speed back to normal through Mobile App or visiting our Website. If the user continues with excessive use then the bandwidth will be capped again permanently (i.e. for 3 hours)At peak times, a lot of customers use the shared network bandwidth at any one time.This means that service quality for all users is affected, making it slower for everyone to access the internet or send and receive emails, especially at peak times. Peak times may fluctuate between 8 pm to 11 pm. 5mbps- 20gb in 24hours- 1mbps fallback 10mbps- 24gb in 24hours- 2mbps fallback 20mbps- 28gb in 24hours- 3mbps fallback 25mbps- 32gb in 24hours- 4mbps fallback 30mbps- 36gb in 24hours- 5mbps fallback 35mbps- 36gb in 24hours- 5mbps fallback 40mbps- 36gb in 24hours- 5mbps fallback 50mbps- 40gb in 24hours- 6mbps fallback 55mbps- 40gb in 24hours- 6mbps fallback 60mbps- 40gb in 24hours- 6mbps fallback FUP is applied only  if an excessive amount of data has been used in an account. Our FUP is applicable only from 8pm to 11 pm."
I feel slow internet connection at 8 to 11 at night.,Okay sir/mam
Yaa i do.,Do you use mobile application.
There is the black color with 100%. What does it mean?,"Please open your mobile application and in the home is there any FUP color. The color shown is red, black and yellow. There is also percentage along with the color."
What does it mean? I have heard this about the first time.,It seems that your account is activate with the FUP.
Haha... Is this a joke?Are you kidding me?,"Sir, FUP is right that every ISP reserve. We are sure sooner or later it is going to be implemented by any ISPs according to their needs and requirements. So on with the increasing number of clients in WorldLink We intend to provide the best possible Internet experience to all our customers. For this, we rely on customers being fair in the way they use the Internet. This ""Fair Usage Policy"" is here to give us an option that if usage of any unlimited customer is excessive over a period of time to the point, it impacts on other users experience then the bandwidth will be capped to fallback speed and is effective only during peak hours (8PM to 11PM) whereas the speed remain unchanged beside mentioned timing.All of our valued clients must be able to use equal service. Here, FUP is an option to provide such solutions. There are so many users found they have been misusing internet e.g taking a connection for home and have been using for HOSTELS, HOTELS, RESTAURANTS, Multiple sharing and for other business purposes. If you take a deep look into it a normal users never falls under FUP but all those bandwidth abusers and massive users.Let us take 5 Mbps package, when the internet usage exceeds the Daily FUP limit of 10 GB then FUP will be applied during the Daily peak hours ( i.e. 8 PM to 11 PM ), then the respective User will be notified via SMS and E-Mail. This will be done 3x3 times for every 10GB bandwidth usage during the Daily Peak Hours with SMS & Email Alert. For the next 3 times of 10 GB bandwidth usage, the bandwidth will then be capped to Fallback Speed ( 1 Mbps) but Users can reset the speed back to normal through Mobile App or visiting our Website. If the user continues with excessive use then the bandwidth will be capped again permanently ( i.e for 3 hours).when the internet usage is seen excessive then the respective users will be notified via SMS and E-Mail for 3 times, Users can reset the speed back to normal via bandwidth selector option available in online service or mobile app for next 3 times. FUP will be abolished as user manage his/her daily usage, If continuous excess usage is seen then the bandwidth will be capped permanently( i.e 8PM-11PM hours only).Dear sir, Its warning message for all of our customers with excessive internet usage. FUP have not been implemented. Whereas FUP policy is a worldwide policy and also mentioned in point no. 20 of terms and conditions.Let us take 5Mbps package, When the internet usage exceeds the Daily FUP limit of 28 GB within the Daily peak hours (i.e. 8PM-11PM), then the respective User will be notified via SMS and email. This will be done 3*3 times for every 28GB bandwidth usage during the Daily Peak Hours with SMS and Email Alert. For the next 3 times of 28GB bandwidth usage, the bandwidth will then capped to Fallback Speed (3Mbps) but Users can reset the speed back to normal through Mobile App or visiting our Website. If the user continues with excessive use then the bandwidth will be capped again permanently (i.e. for 3 hours)At peak times, a lot of customers use the shared network bandwidth at any one time.This means that service quality for all users is affected, making it slower for everyone to access the internet or send and receive emails, especially at peak times. Peak times may fluctuate between 8 pm to 11 pm. 5mbps- 20gb in 24hours- 1mbps fallback 10mbps- 24gb in 24hours- 2mbps fallback 20mbps- 28gb in 24hours- 3mbps fallback 25mbps- 32gb in 24hours- 4mbps fallback 30mbps- 36gb in 24hours- 5mbps fallback 35mbps- 36gb in 24hours- 5mbps fallback 40mbps- 36gb in 24hours- 5mbps fallback 50mbps- 40gb in 24hours- 6mbps fallback 55mbps- 40gb in 24hours- 6mbps fallback 60mbps- 40gb in 24hours- 6mbps fallback FUP is applied only  if an excessive amount of data has been used in an account. Our FUP is applicable only from 8pm to 11 pm."
I have heard this about the first time. While connecting the internet you did not tell me about this kind of stuff.,No sir we are serious.
No he did't.,Our technician didnot tell you about this kind of information.
"Yes, i do.",Have you sign to any of the paper of the before connecting the internet?
No i did't,Did you read the paper before signing the contract?
Yes i have that paper. Its in my drawer.,Do you have that paper?
You are trying to blackmail me. You have take the money but you did't give the internet as per the amount we paid. Is this the sevices you provide to your customer?,Please take it out and read that paper. There is information regarding the FUP.
🤣️🤣️🤣️🤣️,"We have provide you the internet that you have paid. Your internet usages is high, please control your usages to maintain the speed of your connection."
😋️😋️😋️,Pardon sir.
I want to know about the fup.,Hello sir/mam. How can we assist you?
What do you think i will read all the above stuff?,"Sir, FUP is right that every ISP reserve. We are sure sooner or later it is going to be implemented by any ISPs according to their needs and requirements. So on with the increasing number of clients in WorldLink We intend to provide the best possible Internet experience to all our customers. For this, we rely on customers being fair in the way they use the Internet. This ""Fair Usage Policy"" is here to give us an option that if usage of any unlimited customer is excessive over a period of time to the point, it impacts on other users experience then the bandwidth will be capped to fallback speed and is effective only during peak hours (8PM to 11PM) whereas the speed remain unchanged beside mentioned timing.All of our valued clients must be able to use equal service. Here, FUP is an option to provide such solutions. There are so many users found they have been misusing internet e.g taking a connection for home and have been using for HOSTELS, HOTELS, RESTAURANTS, Multiple sharing and for other business purposes. If you take a deep look into it a normal users never falls under FUP but all those bandwidth abusers and massive users.Let us take 5 Mbps package, when the internet usage exceeds the Daily FUP limit of 10 GB then FUP will be applied during the Daily peak hours ( i.e. 8 PM to 11 PM ), then the respective User will be notified via SMS and E-Mail. This will be done 3x3 times for every 10GB bandwidth usage during the Daily Peak Hours with SMS & Email Alert. For the next 3 times of 10 GB bandwidth usage, the bandwidth will then be capped to Fallback Speed ( 1 Mbps) but Users can reset the speed back to normal through Mobile App or visiting our Website. If the user continues with excessive use then the bandwidth will be capped again permanently ( i.e for 3 hours).when the internet usage is seen excessive then the respective users will be notified via SMS and E-Mail for 3 times, Users can reset the speed back to normal via bandwidth selector option available in online service or mobile app for next 3 times. FUP will be abolished as user manage his/her daily usage, If continuous excess usage is seen then the bandwidth will be capped permanently( i.e 8PM-11PM hours only).Dear sir, Its warning message for all of our customers with excessive internet usage. FUP have not been implemented. Whereas FUP policy is a worldwide policy and also mentioned in point no. 20 of terms and conditions.Let us take 5Mbps package, When the internet usage exceeds the Daily FUP limit of 28 GB within the Daily peak hours (i.e. 8PM-11PM), then the respective User will be notified via SMS and email. This will be done 3*3 times for every 28GB bandwidth usage during the Daily Peak Hours with SMS and Email Alert. For the next 3 times of 28GB bandwidth usage, the bandwidth will then capped to Fallback Speed (3Mbps) but Users can reset the speed back to normal through Mobile App or visiting our Website. If the user continues with excessive use then the bandwidth will be capped again permanently (i.e. for 3 hours)At peak times, a lot of customers use the shared network bandwidth at any one time.This means that service quality for all users is affected, making it slower for everyone to access the internet or send and receive emails, especially at peak times. Peak times may fluctuate between 8 pm to 11 pm. 5mbps- 20gb in 24hours- 1mbps fallback 10mbps- 24gb in 24hours- 2mbps fallback 20mbps- 28gb in 24hours- 3mbps fallback 25mbps- 32gb in 24hours- 4mbps fallback 30mbps- 36gb in 24hours- 5mbps fallback 35mbps- 36gb in 24hours- 5mbps fallback 40mbps- 36gb in 24hours- 5mbps fallback 50mbps- 40gb in 24hours- 6mbps fallback 55mbps- 40gb in 24hours- 6mbps fallback 60mbps- 40gb in 24hours- 6mbps fallback FUP is applied only  if an excessive amount of data has been used in an account. Our FUP is applicable only from 8pm to 11 pm."
How does a user fall under FUP?,If you want to understand about the FUP you have to read all the above information about the FUP.
Oh my God. How FUP works in WorldLink?,"Users who abuse the internet for immense download/upload uncontrollably, massive sharing & inappropriate package subscription."
How to avoid FUP?,"In WorldLink we have “SMART FUP” system which monitors our user’s behaviour, when a user exceeds daily data threshold, flags will be tagged automatically and on the basis of FLAGS tagged our system automatically restricts those abusers and keeps overall experience balanced for other normal users."
Are you kidding?,Subscribing to an appropriate internet plan is the best way to avoid FUP restrictions. A user can avoid FUP by keeping the track of D/U speed regularly. Also taking control over massive download and sharing.
You are such an insanse.,No sir.
Boro,Sorry.
Hey i want to know about the how does each flag work and what happen if a user is tagged by each flag?,Hello sir/mam. How can we assist you?
You really suprise me.,"sure sirAs we know that flags are triggered automatically according to the internet usages. YELLOW: If a user exceeds daily data limit during subscription days YELLOW FLAG will be tagged automatically. But our system will not notify or send EMAIL/SMS to those customers. Also internet speed will not be throttled or decreased. RED: If a user exceeds three YELLOW FLAGSduring subscription days RED FLAG will be tagged automatically. Such user’s internet speed will be temporarily throttled (capped) and starts running in FALLBACK SPEED, they will be notified via EMAIL/SMS. However, those users who are under RED FLAG can reset their internet speed back to normal simply by logging into online-services OR mobile app through bandwidth selector. We must insist customers to reboot their router to apply any changes made. BLACK: If a user exceeds three RED FLAGSduring subscription days BLACK FLAG will be tagged automatically. Their bandwidth will be throttled or decreased permanently, also these users will be notified through SMS/EMAIL but they won’t be able to reset the bandwidth by any means."
😡️😡️😡️😡️,okay sir/mam
How can i remove the FUP?,Hello sir/mam. How can we assist you?
Are you drunk?,"In WorldLink you will be notified by SMS about the FUP restrictions where you can still reset your bandwidth for three times even after you are under FUP possession. Similarly, there are different processes in other ISPs. One can always talk to a customer service representative to get complete information"
"I repeat, how can i remove FUP?",Sorry
Can you give me the date?,Please control your internet usages. FUP will be remove with in a week.
Is there any alternative way to reduce the FUP?,It depends upon your internet usages sir/mam.
Thank you for the coorporation.,No sir/mam. Its only the way.
Hey worldink,Welcome sir.
How you doing this days?,Hello sir/mam. How can we assist you?
I have query regaring the NETTV.,We are going amazing sir. How can i help you?
I heard from my friend that we can pair the TV remote with the nettv remote. Is that true?,Please elborate your query sir.
Can you guide me to pair the remote?,Yes sir it is.
Okay let me try.,"Pairing IPTV and TV remote.1. So, first of all you need to keep pressing SET of IPTV remote until the light stops blinking and light glows constantly. 2. And now keep both remote in such a way that both LED is facing each other. 3. Keep pressing AV/TV button of IPTV remote and same button of your TV remote until the light of IPTV remote glows constantly 4. Do the same process for all other buttons i.e Volume down, Volume up and Power button. Select the channel from menu key and there appears ""wait to load epg/dvr"" and when its loaded, you can select the channels"
Hey worldink,Sure sir.
I hear about you from my friends and relatives. Your really provide awesome services to the client. Is that true?,Hello sir/mam. How can we assist you?
I want a internet connection for my office. Could you please guide me about the package you have?,Any doubht sir?
Could you explain about the package?,"Sure sir. For the Office, we have got the SME plan."
"OMG😮️ 😮️ 😮️ , is that true?","For SME prime,you will get at least 10 hr double bandwidth than you have subscribed and other time your bandwidth will be half as per your subscription.For SME 24,you will get 24 hr double bandwidth as per your subscription.For SME prime,you will get exact bandwidth that you have subscribed during the prime time i.e office hours else than that the bandwidth might fluctuate in off hours. The package is so designed as some clients only need high speed during the office hours.For SME 24,you will get 24 hr exact bandwidth as per your subscription."
"If i go with the SME 24, bandwidth will be double?",Yes sir/mam.
Are you sure?,Yes sir/mam.
Okay can i get the package detail with all the prices?,"Definately, do you have any doubt?"
Thank you for the co-operation.,"SME 24 10mbps 1 Month Fee: Rs 3,000 + 13% VAT= 3390 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.7,150 3 Month Fee: Rs 8100 + 13% VAT= 9,153 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 11,283 12 Months Fee: Rs.30,000 + 13% VAT= 33,900 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 36,030 SME 24 20mbps 1 Month Fee: Rs 4,000 + 13% VAT= 4,520 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs. 8,280 3 Month Fee: Rs 11000 + 13% VAT= 12,430 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 14,560 12 Months Fee: Rs.41,000 + 13% VAT= 46,330 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 48,460"
Hey,Welcome sir/mam
I want to know about the SME 24 Plan.Could you send me the pricing detail.,Hello sir/mam how can we assist you?
I want to take this package. How can i step up the internet?,"SME 24 10mbps1 Month Fee: Rs 3,000 + 13% VAT= 3390 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.7,150 3 Month Fee: Rs 8100 + 13% VAT= 9,153 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 11,283 12 Months Fee: Rs.30,000 + 13% VAT= 33,900 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 36,030 SME 24 20mbps 1 Month Fee: Rs 4,000 + 13% VAT= 4,520 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs. 8,280 3 Month Fee: Rs 11000 + 13% VAT= 12,430 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 14,560 12 Months Fee: Rs.41,000 + 13% VAT= 46,330 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 48,460"
Okay,Please contact 9801523052.
Hey boro,okay sir/mam
I want a new connection. Please send be the detail with price for the office use.,Hello sir/mam how can we assist you?
Can you tell be about the SME prime package with detail pricing?,"For the office use we have got the SME plan  SME prime,you will get at least 10 hr double bandwidth than you have subscribed and other time your bandwidth will be half as per your subscription.For SME 24,you will get 24 hr double bandwidth as per your subscription. For SME prime,you will get exact bandwidth that you have subscribed during the prime time i.e office hours else than that the bandwidth might fluctuate in off hours. The package is so designed as some clients only need high speed during the office hours. For SME 24,you will get 24 hr exact bandwidth as per your subscription."
Why it is so expensive?,"sure sirSME PRIME 10mbps 1 Month Fee: Rs 2,000 + 13% VAT= 2,260 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.6,020 3 Month Fee: Rs 5,400 + 13% VAT= 6,102 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 8,232 12 Months Fee: Rs 20,000 + 13% VAT= 22,600 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 24,730 SME PRIME 20mbps 1 Month Fee: Rs 3,000 + 13% VAT= 3,390 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.7,150 3 Month Fee: Rs 8,100 + 13% VAT= 9,153 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 11,283 12 Months Fee: Rs 30,000 + 13% VAT= 33,900 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= Rs.36,030"
Okay,No sir it is the best price we have got for the office packages.
Hey Worldink.,Okay sir/mam
I am developer and i want to forward my port for the educational purpose. Can you give me the access to it?,Hello sir/mam how can we assist you?
That not fair. We have pay the amount you have declare.,We regret to inform you that our FTTH Customers won’t be able to access the FTTH router because of the rental/security policy of WorldLink.
Is there any way to access the router?,"We have provided the router in rental. Due to security purpose, you are not able to access the router page."
You have robbed me.,No sir/mam there is none of the way.
Hi,Pardon sir
I want to access my router.,Hello sir/mam how can we assist you?
Such as insanse.,"We appreciate your query and glad that you brought it forward. The access to ONT devices from client's end was restricted due to security issues and rental policy of the company. There were multiple cases where unknown people created multiple SSID and misused volume and bandwidth at client's end resulting slow and intermittent connection. However, the sweet part is that you can use our mobile app ""MyWorldLink"" to change your Wi-Fi password, keep an eye on your DHCP list, account history, eService and all. We also would like to inform you that there are features like MAC filtering and reboot options available in mob app itself."
oi,Sorry
I want to access my router to change the wifi password.,Hello sir/mam how can we assist you?
Okay.,"We regret to inform you that our FTTH Customers won’t be able to access the FTTH router because of the rental/security policy of WorldLink.We appreciate your query and glad that you brought it forward. The access to ONT devices from client's end was restricted due to security issues and rental policy of the company. There were multiple cases where unknown people created multiple SSID and misused volume and bandwidth at client's end resulting slow and intermittent connection. However, the sweet part is that you can use our mobile app ""MyWorldLink"" to change your Wi-Fi password, keep an eye on your DHCP list, account history, eService and all. We also would like to inform you that there are features like MAC filtering and reboot options available in mobile application itself."
You are such an insanse and money minded people.,Okay sir
We have paid the money for the internet but due to your fucking policy my internet is slow. It is a joke?,Hello sir/mam how can we assist you?
Why do i mind my language? How can i remove the FUP?,Please elaborte your query also mind your language.
Is there any alternative to remove the FUP? Give me your account number i can send you the amount.,You have to control your bandwidth as well as control your download to remove the FUP?
Hey worldink,There is no any alternative way to remove the FUP even your money can't help you.
I heard that you also prove the TV channel services to the client. Is that true?,Hello sir/mam how can we assist you?
Thats great bro.,Yes sir we too provide the TV channel services to the clinet. Not only channel but you will receive the NETTV box with adds on facility.
Thank You!,"For more details, feel free to contact our sales department at 9801523052."
Hello,Welcome sir/mam
I am your old customer. I want to know about your NETTV services.,Hello sir/mam how can we assist you?
Hello sir,"YouTube services in NetTv is available now. The old NetTv set top box is not compatible for the YouTube and future updates. So, we introduced new updated premium NetTv set top box. Which is compatible for YouTube feature and future updates. You are requested to exchange the STB which costs Nrs.500 + 13% VAT for STB replacement and have to update the current internet package to new package. Please visit to your concerned branch office to get the new updated NetTv setup box. .Note: All setup including remote, adapter should be brought and packages must be updated accordingly at the time of renewal.Kindly inbox us to know more about the replacement of the NetTv STB."
I am your existing user. I have also subscribe to your NETTV. I have heard that wordlink has provide web application and mobile application NETTV sevices.,Hello sir/mam how can we assist you?
Am i eligible for that services?,Yes sir/mam That true.  We have release our new web and mobile application services.
Can you please explain me about the credential i need to login.?,"Definately sir/mam. You are elegible for that services.You can follow the below steps to download the app/application We have come up with new Net TV Web App and Mobile App. As we are in the initial phase, channels are being added. Though all the channels are not available, you can use the available ones for now through your ISP credential.Thank you so much for your patience. We will get back to you soon. NetTv Official Facebook Page: https://www.facebook.com/TVChannelProvider/ NetTv Official Website: http://www.nettv.com.np/ Please go through this link to open NetTv Web App: https://webtv.nettv.com.np/login Please go through this link to open NetTv Mobile App: https://play.google.com/store/apps/details?id=np.com.nettv Note: This mobile app link is only for android user for now. We are working for iOS user too."
"Okay i know about my username but online services password, what does it mean?",Sure sir/mam. There is teo credential to login.They are username and the online services password.
Okay if you don't mind can you guide me to reset the online services password myself?,"Online services password is the password used to login to know your internet status, web login and mobile login. YOu can reset this password from the mobile app/application and the web app/application."
